cfg,seed,instance,iteration,best_su,best_csr,best_placed
SEQ,1,350,1,57.1432,46.5753,73
SEQ,1,350,2,54.5301,50.0000,68
SEQ,1,350,3,54.5862,53.7313,67
SEQ,1,350,4,56.4172,52.1739,69
SEQ,1,350,5,60.2235,48.7805,82
SEQ,1,350,6,59.5617,45.2055,73
SEQ,1,350,7,63.2076,41.1765,85
SEQ,1,350,8,55.7954,53.7313,67
SEQ,1,350,9,63.6527,40.4762,84
SEQ,1,350,10,61.8900,55.0000,80
SEQ,1,350,11,58.2100,58.1081,74
SEQ,1,350,12,59.6781,52.7027,74
SEQ,1,350,13,57.6005,46.4789,71
SEQ,1,350,14,57.8551,45.5882,68
SEQ,1,350,15,58.2742,43.4783,69
SEQ,1,350,16,62.4175,37.2093,86
SEQ,1,350,17,55.2641,50.0000,68
SEQ,1,350,18,61.2904,39.7590,83
SEQ,1,350,19,57.8169,40.8451,71
SEQ,1,350,20,56.9485,51.4706,68
SEQ,1,350,21,56.5516,50.0000,72
SEQ,1,350,22,58.5349,51.8987,79
SEQ,1,350,23,62.3011,36.4706,85
SEQ,1,350,24,61.7095,42.8571,84
SEQ,1,350,25,60.1754,50.6329,79
SEQ,1,350,26,58.2662,50.6849,73
SEQ,1,350,27,56.8665,54.9296,71
SEQ,1,350,28,57.1211,50.0000,68
SEQ,1,350,29,56.1325,47.8873,71
SEQ,1,350,30,60.7751,52.6316,76
SEQ,1,350,31,59.9247,42.6667,75
SEQ,1,350,32,58.4647,50.7042,71
SEQ,1,350,33,61.1640,42.1053,76
SEQ,1,350,34,61.6393,50.0000,76
SEQ,1,350,35,60.4300,60.5263,76
SEQ,1,350,36,61.7557,48.0519,77
SEQ,1,350,37,55.5107,57.9710,69
SEQ,1,350,38,61.1079,44.1558,77
SEQ,1,350,39,59.1124,47.8873,71
SEQ,1,350,40,60.7148,51.3514,74
SEQ,1,350,41,62.7924,45.4545,77
SEQ,1,350,42,60.6285,52.7027,74
SEQ,1,350,43,63.7730,50.0000,78
SEQ,1,350,44,62.7924,58.4416,77
SEQ,1,350,45,64.6715,45.1220,82
SEQ,1,350,46,61.4667,56.5789,76
