cfg,seed,instance,iteration,best_su,best_csr,best_placed
SEQ,4,350,1,56.5516,50.0000,72
SEQ,4,350,2,60.4903,51.2821,78
SEQ,4,350,3,58.7597,42.3529,85
SEQ,4,350,4,55.3904,53.3333,75
SEQ,4,350,5,56.2107,48.0000,75
SEQ,4,350,6,56.9146,50.0000,74
SEQ,4,350,7,60.6426,46.9880,83
SEQ,4,350,8,56.4653,50.0000,72
SEQ,4,350,9,60.3739,48.0519,77
SEQ,4,350,10,59.9247,45.3333,75
SEQ,4,350,11,63.7912,43.3333,90
SEQ,4,350,12,66.7872,52.4390,82
SEQ,4,350,13,60.8331,51.7647,85
SEQ,4,350,14,60.2575,53.9474,76
SEQ,4,350,15,59.7563,43.5897,78
SEQ,4,350,16,58.1238,50.0000,74
SEQ,4,350,17,56.0462,56.3380,71
SEQ,4,350,18,56.3229,50.6849,73
SEQ,4,350,19,57.4760,45.9459,74
SEQ,4,350,20,60.1372,48.7805,82
SEQ,4,350,21,58.7937,46.8354,79
SEQ,4,350,22,57.8951,56.0000,75
SEQ,4,350,23,57.2474,58.6667,75
SEQ,4,350,24,60.1151,61.0390,77
SEQ,4,350,25,58.8196,49.3506,77
SEQ,4,350,26,63.7169,45.5696,79
SEQ,4,350,27,59.4674,58.4416,77
SEQ,4,350,28,63.5184,44.4444,81
SEQ,4,350,29,59.7220,54.0541,74
SEQ,4,350,30,59.5536,48.0519,77
SEQ,4,350,31,60.5903,48.0519,77
SEQ,4,350,32,60.7327,50.0000,76
SEQ,4,350,33,59.2387,48.7179,78
SEQ,4,350,34,58.7414,41.0959,73
SEQ,4,350,35,57.5322,53.4247,73
SEQ,4,350,36,58.0375,50.0000,74
SEQ,4,350,37,59.8384,44.0000,75
SEQ,4,350,38,59.4754,50.6849,73
SEQ,4,350,39,59.8082,48.6486,74
SEQ,4,350,40,59.8082,50.0000,74
SEQ,4,350,41,60.5984,43.8356,73
SEQ,4,350,42,61.4408,51.2821,78
SEQ,4,350,43,65.9109,43.3735,83
SEQ,4,350,44,63.3279,50.6329,79
SEQ,4,350,45,63.8031,39.2405,79
SEQ,4,350,46,63.4703,48.7179,78
SEQ,4,350,47,65.8025,42.3077,78
SEQ,4,350,48,61.1339,60.0000,75
SEQ,4,350,49,58.8838,65.2778,72
SEQ,4,350,50,61.1339,46.6667,75
SEQ,4,350,51,56.6638,47.1429,70
SEQ,4,350,52,58.4566,53.3333,75
SEQ,4,350,53,59.2468,52.7027,74
SEQ,4,350,54,59.2468,44.5946,74
SEQ,4,350,55,59.5578,43.7500,80
SEQ,4,350,56,60.0670,45.9459,74
SEQ,4,350,57,60.4300,47.3684,76
SEQ,4,350,58,60.2575,48.6842,76
SEQ,4,350,59,67.1201,44.5783,83
SEQ,4,350,60,67.2625,43.9024,82
SEQ,4,350,61,62.0022,39.7436,78
SEQ,4,350,62,61.5530,50.0000,76
SEQ,4,350,63,68.1308,42.3529,85
SEQ,4,350,64,65.5177,45.0000,80
SEQ,4,350,65,64.8700,50.0000,80
SEQ,4,350,66,68.4156,44.5783,83
SEQ,4,350,67,66.4162,53.5714,84
SEQ,4,350,68,69.8454,40.6977,86
SEQ,4,350,69,66.1956,48.1481,81
SEQ,4,350,70,64.9261,43.0380,79
SEQ,4,350,71,68.6061,47.0588,85
SEQ,4,350,72,68.9210,41.6667,84
SEQ,4,350,73,65.9670,46.3415,82
SEQ,4,350,74,66.1655,48.7500,80
SEQ,4,350,75,66.5586,50.6024,83
SEQ,4,350,76,66.2517,43.7500,80
SEQ,4,350,77,67.6816,43.3735,83
SEQ,4,350,78,67.7377,51.2195,82
SEQ,4,350,79,69.3401,50.5882,85
SEQ,4,350,80,71.0287,45.4545,88
SEQ,4,350,81,68.4156,48.1928,83
SEQ,4,350,82,68.8446,45.5556,90
SEQ,4,350,83,72.3341,45.7447,94
SEQ,4,350,84,70.0741,45.8824,85
SEQ,4,350,85,68.9309,37.7778,90
SEQ,4,350,86,69.7592,47.6744,86
SEQ,4,350,87,69.4263,48.2353,85
SEQ,4,350,88,69.7031,42.5287,87
SEQ,4,350,89,68.4156,46.9880,83
SEQ,4,350,90,67.8720,47.0588,85
SEQ,4,350,91,69.2840,48.8372,86
SEQ,4,350,92,68.2732,53.5714,84
SEQ,4,350,93,69.4362,37.3626,91
SEQ,4,350,94,69.1675,51.7647,85
SEQ,4,350,95,68.8347,41.6667,84
SEQ,4,350,96,69.7592,44.1860,86
SEQ,4,350,97,70.3508,41.3793,87
SEQ,4,350,98,68.6622,53.5714,84
SEQ,4,350,99,70.0180,45.3488,86
SEQ,4,350,100,68.1568,53.0120,83
SEQ,4,350,101,67.9102,50.0000,82
SEQ,4,350,102,69.4263,42.3529,85
SEQ,4,350,103,67.8801,49.3827,81
SEQ,4,350,104,68.5881,51.8072,83
SEQ,4,350,105,69.4263,45.8824,85
SEQ,4,350,106,69.0072,44.0476,84
SEQ,4,350,107,70.1042,41.8605,86
SEQ,4,350,108,68.9210,48.8095,84
SEQ,4,350,109,73.9567,40.2174,92
SEQ,4,350,110,71.2012,44.3182,88
SEQ,4,350,111,69.5989,48.2353,85
SEQ,4,350,112,72.4406,50.5618,89
SEQ,4,350,113,71.8490,44.3182,88
SEQ,4,350,114,70.6657,45.3488,86
SEQ,4,350,115,73.9567,44.5652,92
SEQ,4,350,116,70.1905,48.8372,86
SEQ,4,350,117,71.8490,40.9091,88
SEQ,4,350,118,71.7627,43.1818,88
SEQ,4,350,119,68.7484,60.7143,84
SEQ,4,350,120,70.2466,49.4118,85
SEQ,4,350,121,70.6657,46.5116,86
SEQ,4,350,122,71.7627,43.1818,88
SEQ,4,350,123,71.3436,44.8276,87
SEQ,4,350,124,71.8490,50.0000,88
SEQ,4,350,125,72.0875,47.3118,93
SEQ,4,350,126,71.3135,45.3488,86
SEQ,4,350,127,73.5075,43.3333,90
SEQ,4,350,128,71.8188,54.0230,87
SEQ,4,350,129,72.3543,46.0674,89
SEQ,4,350,130,72.4406,43.8202,89
SEQ,4,350,131,72.4967,43.1818,88
SEQ,4,350,132,71.3135,46.5116,86
SEQ,4,350,133,72.4105,44.3182,88
SEQ,4,350,134,69.5687,53.5714,84
SEQ,4,350,135,72.2681,48.3146,89
SEQ,4,350,136,70.5794,55.8140,86
SEQ,4,350,137,70.4371,51.7241,87
SEQ,4,350,138,72.3543,38.2022,89
SEQ,4,350,139,72.3242,47.7273,88
SEQ,4,350,140,68.9771,50.6024,83
