cfg,seed,instance,iteration,best_su,best_csr,best_placed
REP,1,350,1,31.4975,100.0000,39
REP,1,350,2,33.7476,100.0000,42
REP,1,350,3,33.7476,100.0000,42
REP,1,350,4,38.8094,100.0000,48
REP,1,350,5,38.8094,100.0000,48
REP,1,350,6,38.8094,100.0000,48
REP,1,350,7,38.8094,100.0000,48
REP,1,350,8,38.8094,100.0000,48
REP,1,350,9,38.8094,100.0000,48
REP,1,350,10,38.8094,100.0000,48
REP,1,350,11,38.8094,100.0000,48
REP,1,350,12,38.8094,100.0000,48
REP,1,350,13,38.8094,100.0000,48
REP,1,350,14,38.8094,100.0000,48
REP,1,350,15,38.8094,100.0000,48
REP,1,350,16,38.8094,100.0000,48
REP,1,350,17,38.8094,100.0000,48
REP,1,350,18,38.8094,100.0000,48
REP,1,350,19,38.8094,100.0000,48
REP,1,350,20,38.8094,100.0000,48
REP,1,350,21,38.8094,100.0000,48
REP,1,350,22,38.8094,100.0000,48
REP,1,350,23,38.8094,100.0000,48
REP,1,350,24,38.8094,100.0000,48
REP,1,350,25,38.8094,100.0000,48
REP,1,350,26,38.8094,100.0000,48
REP,1,350,27,38.8094,100.0000,48
REP,1,350,28,38.8094,100.0000,48
REP,1,350,29,38.8094,100.0000,48
REP,1,350,30,38.8094,100.0000,48
REP,1,350,31,38.8094,100.0000,48
REP,1,350,32,38.8094,100.0000,48
REP,1,350,33,38.8094,100.0000,48
REP,1,350,34,38.8094,100.0000,48
REP,1,350,35,38.8094,100.0000,48
REP,1,350,36,38.8094,100.0000,48
REP,1,350,37,38.8094,100.0000,48
REP,1,350,38,39.7640,100.0000,51
REP,1,350,39,39.7640,100.0000,51
REP,1,350,40,39.7640,100.0000,51
REP,1,350,41,39.7640,100.0000,51
REP,1,350,42,39.7640,100.0000,51
REP,1,350,43,39.7640,100.0000,51
REP,1,350,44,39.7640,100.0000,51
REP,1,350,45,39.7640,100.0000,51
REP,1,350,46,39.7640,100.0000,51
REP,1,350,47,39.7640,100.0000,51
REP,1,350,48,39.7640,100.0000,51
REP,1,350,49,39.7640,100.0000,51
REP,1,350,50,39.7640,100.0000,51
REP,1,350,51,39.7640,100.0000,51
REP,1,350,52,39.7640,100.0000,51
REP,1,350,53,39.7640,100.0000,51
REP,1,350,54,39.7640,100.0000,51
REP,1,350,55,39.7640,100.0000,51
REP,1,350,56,39.7640,100.0000,51
REP,1,350,57,39.7640,100.0000,51
REP,1,350,58,39.7640,100.0000,51
REP,1,350,59,39.7640,100.0000,51
REP,1,350,60,39.7640,100.0000,51
REP,1,350,61,39.7640,100.0000,51
REP,1,350,62,39.7640,100.0000,51
REP,1,350,63,39.7640,100.0000,51
REP,1,350,64,39.7640,100.0000,51
REP,1,350,65,39.7640,100.0000,51
REP,1,350,66,39.7640,100.0000,51
REP,1,350,67,39.7640,100.0000,51
REP,1,350,68,39.7640,100.0000,51
REP,1,350,69,39.7640,100.0000,51
REP,1,350,70,39.7640,100.0000,51
REP,1,350,71,39.7640,100.0000,51
REP,1,350,72,39.7640,100.0000,51
REP,1,350,73,39.7640,100.0000,51
REP,1,350,74,39.7640,100.0000,51
REP,1,350,75,39.7640,100.0000,51
REP,1,350,76,39.7640,100.0000,51
REP,1,350,77,39.7640,100.0000,51
REP,1,350,78,40.3556,100.0000,52
REP,1,350,79,40.3556,100.0000,52
REP,1,350,80,40.3556,100.0000,52
REP,1,350,81,40.3556,100.0000,52
REP,1,350,82,40.3556,100.0000,52
REP,1,350,83,40.3556,100.0000,52
REP,1,350,84,40.3556,100.0000,52
REP,1,350,85,40.3556,100.0000,52
REP,1,350,86,40.3556,100.0000,52
REP,1,350,87,40.3556,100.0000,52
REP,1,350,88,40.3556,100.0000,52
REP,1,350,89,40.3556,100.0000,52
REP,1,350,90,40.3556,100.0000,52
REP,1,350,91,40.3556,100.0000,52
REP,1,350,92,40.3556,100.0000,52
REP,1,350,93,40.3556,100.0000,52
REP,1,350,94,40.3556,100.0000,52
REP,1,350,95,40.3556,100.0000,52
REP,1,350,96,40.3556,100.0000,52
REP,1,350,97,40.3556,100.0000,52
REP,1,350,98,40.3556,100.0000,52
REP,1,350,99,40.3556,100.0000,52
REP,1,350,100,40.3556,100.0000,52
REP,1,350,101,40.3556,100.0000,52
REP,1,350,102,40.3556,100.0000,52
REP,1,350,103,40.3556,100.0000,52
REP,1,350,104,40.3556,100.0000,52
REP,1,350,105,40.3556,100.0000,52
REP,1,350,106,40.3556,100.0000,52
REP,1,350,107,40.3556,100.0000,52
REP,1,350,108,40.3556,100.0000,52
REP,1,350,109,40.3556,100.0000,52
REP,1,350,110,40.3556,100.0000,52
REP,1,350,111,40.3556,100.0000,52
REP,1,350,112,40.3556,100.0000,52
REP,1,350,113,40.3556,100.0000,52
REP,1,350,114,40.3556,100.0000,52
REP,1,350,115,40.3556,100.0000,52
REP,1,350,116,40.3556,100.0000,52
REP,1,350,117,40.3556,100.0000,52
REP,1,350,118,40.3556,100.0000,52
REP,1,350,119,40.3556,100.0000,52
REP,1,350,120,40.3556,100.0000,52
REP,1,350,121,40.3556,100.0000,52
REP,1,350,122,40.3556,100.0000,52
REP,1,350,123,40.3556,100.0000,52
REP,1,350,124,40.3556,100.0000,52
REP,1,350,125,40.3556,100.0000,52
REP,1,350,126,40.3556,100.0000,52
REP,1,350,127,40.3556,100.0000,52
REP,1,350,128,40.4419,100.0000,52
REP,1,350,129,40.4419,100.0000,52
REP,1,350,130,40.4419,100.0000,52
REP,1,350,131,40.4419,100.0000,52
REP,1,350,132,40.4419,100.0000,52
REP,1,350,133,40.4419,100.0000,52
REP,1,350,134,40.9831,100.0000,57
REP,1,350,135,40.9831,100.0000,57
REP,1,350,136,40.9831,100.0000,57
REP,1,350,137,40.9831,100.0000,57
REP,1,350,138,40.9831,100.0000,57
REP,1,350,139,40.9831,100.0000,57
REP,1,350,140,40.9831,100.0000,57
REP,1,350,141,40.9831,100.0000,57
REP,1,350,142,40.9831,100.0000,57
REP,1,350,143,40.9831,100.0000,57
REP,1,350,144,40.9831,100.0000,57
REP,1,350,145,40.9831,100.0000,57
REP,1,350,146,40.9831,100.0000,57
REP,1,350,147,40.9831,100.0000,57
REP,1,350,148,40.9831,100.0000,57
REP,1,350,149,40.9831,100.0000,57
REP,1,350,150,40.9831,100.0000,57
REP,1,350,151,40.9831,100.0000,57
REP,1,350,152,40.9831,100.0000,57
REP,1,350,153,40.9831,100.0000,57
REP,1,350,154,40.9831,100.0000,57
REP,1,350,155,40.9831,100.0000,57
REP,1,350,156,40.9831,100.0000,57
REP,1,350,157,40.9831,100.0000,57
REP,1,350,158,40.9831,100.0000,57
REP,1,350,159,40.9831,100.0000,57
REP,1,350,160,40.9831,100.0000,57
REP,1,350,161,40.9831,100.0000,57
