cfg,seed,instance,iteration,best_su,best_csr,best_placed
DGWO,4,350,1,56.5516,50.0000,72
DGWO,4,350,2,60.4903,51.2821,78
DGWO,4,350,3,58.7597,40.0000,85
DGWO,4,350,4,54.9492,44.9275,69
DGWO,4,350,5,58.1799,38.3562,73
DGWO,4,350,6,60.7449,44.0000,75
DGWO,4,350,7,62.8225,57.6923,78
DGWO,4,350,8,57.1993,47.2222,72
DGWO,4,350,9,62.8225,51.2821,78
DGWO,4,350,10,61.0778,51.3158,76
DGWO,4,350,11,67.2064,45.7831,83
DGWO,4,350,12,60.9052,43.4211,76
DGWO,4,350,13,64.3688,51.2195,82
DGWO,4,350,14,63.5867,40.5063,79
DGWO,4,350,15,57.7306,50.7042,71
DGWO,4,350,16,62.0064,40.7407,81
DGWO,4,350,17,59.7262,48.0519,77
DGWO,4,350,18,61.3545,41.0256,78
DGWO,4,350,19,58.6292,44.0000,75
DGWO,4,350,20,58.6250,40.2778,72
DGWO,4,350,21,61.3846,51.8987,79
DGWO,4,350,22,60.2414,40.4762,84
DGWO,4,350,23,60.8029,51.1905,84
DGWO,4,350,24,62.1847,39.2857,84
DGWO,4,350,25,62.1446,48.0519,77
DGWO,4,350,26,57.7005,50.0000,70
DGWO,4,350,27,62.2309,54.5455,77
DGWO,4,350,28,60.9453,46.9880,83
DGWO,4,350,29,63.1954,40.6977,86
DGWO,4,350,30,57.4719,46.4789,71
DGWO,4,350,31,62.6760,50.0000,76
DGWO,4,350,32,59.3330,54.0541,74
DGWO,4,350,33,63.1653,43.5294,85
DGWO,4,350,34,65.4456,43.8202,89
DGWO,4,350,35,63.3279,43.0380,79
DGWO,4,350,36,61.8599,49.3671,79
DGWO,4,350,37,62.7843,49.3827,81
DGWO,4,350,38,62.0244,53.0120,83
DGWO,4,350,39,57.0528,55.7143,70
DGWO,4,350,40,61.0316,48.1928,83
DGWO,4,350,41,57.9211,52.0548,73
DGWO,4,350,42,59.5838,47.4359,78
DGWO,4,350,43,60.2575,42.1053,76
DGWO,4,350,44,59.4372,55.2632,76
DGWO,4,350,45,63.3840,51.2821,78
DGWO,4,350,46,59.3330,59.4595,74
DGWO,4,350,47,61.4850,50.0000,88
DGWO,4,350,48,58.8838,61.1111,72
DGWO,4,350,49,61.5369,46.4286,84
DGWO,4,350,50,63.5184,55.5556,81
DGWO,4,350,51,63.7008,43.6782,87
DGWO,4,350,52,62.6339,46.5116,86
DGWO,4,350,53,65.0524,48.8372,86
DGWO,4,350,54,63.2115,50.0000,78
DGWO,4,350,55,68.8950,46.5116,86
DGWO,4,350,56,63.3539,57.1429,77
DGWO,4,350,57,65.3853,45.9770,87
DGWO,4,350,58,67.2163,48.3146,89
DGWO,4,350,59,66.5846,51.8519,81
DGWO,4,350,60,66.5285,53.6585,82
DGWO,4,350,61,62.4473,50.6494,77
DGWO,4,350,62,68.2530,48.3146,89
DGWO,4,350,63,61.8858,54.5455,77
DGWO,4,350,64,62.2007,51.3158,76
DGWO,4,350,65,62.4775,43.5897,78
DGWO,4,350,66,64.7837,50.0000,80
DGWO,4,350,67,65.2631,42.1687,83
DGWO,4,350,68,62.5336,48.0519,77
DGWO,4,350,69,67.2323,45.6790,81
DGWO,4,350,70,59.8644,50.6849,73
DGWO,4,350,71,68.1308,45.8824,85
DGWO,4,350,72,62.6199,49.3506,77
DGWO,4,350,73,66.0792,46.2500,80
DGWO,4,350,74,66.2437,41.6667,84
DGWO,4,350,75,65.4315,50.0000,80
DGWO,4,350,76,66.6407,50.0000,80
DGWO,4,350,77,67.6816,50.6024,83
DGWO,4,350,78,63.6405,40.0000,85
DGWO,4,350,79,68.7484,41.6667,84
DGWO,4,350,80,65.3853,45.9770,87
DGWO,4,350,81,68.9950,49.4118,85
DGWO,4,350,82,69.2798,43.3735,83
DGWO,4,350,83,66.2918,40.2299,87
DGWO,4,350,84,68.9309,46.6667,90
DGWO,4,350,85,65.3452,47.5000,80
DGWO,4,350,86,65.3452,45.0000,80
DGWO,4,350,87,68.0144,44.0476,84
DGWO,4,350,88,67.0037,35.3659,82
DGWO,4,350,89,67.5953,46.9880,83
DGWO,4,350,90,65.4013,40.5063,79
DGWO,4,350,91,64.2321,41.8605,86
DGWO,4,350,92,61.8858,55.8442,77
DGWO,4,350,93,65.2330,47.5610,82
DGWO,4,350,94,65.8807,47.5610,82
DGWO,4,350,95,69.3401,38.8235,85
DGWO,4,350,96,65.2891,44.4444,81
DGWO,4,350,97,69.1977,38.3721,86
DGWO,4,350,98,66.4983,41.9753,81
DGWO,4,350,99,66.2136,40.9639,83
DGWO,4,350,100,67.3365,42.1687,83
DGWO,4,350,101,64.0757,52.5641,78
DGWO,4,350,102,67.7938,49.3827,81
DGWO,4,350,103,68.9771,49.3976,83
DGWO,4,350,104,70.0180,48.8372,86
DGWO,4,350,105,68.8046,45.7831,83
DGWO,4,350,106,69.4824,47.6190,84
DGWO,4,350,107,70.6356,47.0588,85
DGWO,4,350,108,68.2992,48.7805,82
DGWO,4,350,109,67.9022,46.5116,86
DGWO,4,350,110,69.4744,47.7273,88
DGWO,4,350,111,66.7571,60.4938,81
DGWO,4,350,112,70.1603,43.5294,85
DGWO,4,350,113,66.7010,46.3415,82
DGWO,4,350,114,70.2947,44.3182,88
DGWO,4,350,115,70.9424,51.1364,88
DGWO,4,350,116,71.0287,46.5909,88
DGWO,4,350,117,68.1869,52.3810,84
DGWO,4,350,118,70.0741,49.4118,85
DGWO,4,350,119,71.2753,46.0674,89
DGWO,4,350,120,70.1603,55.2941,85
DGWO,4,350,121,69.3141,44.8276,87
DGWO,4,350,122,73.6979,52.1739,92
DGWO,4,350,123,70.3508,48.2759,87
DGWO,4,350,124,69.6550,55.9524,84
DGWO,4,350,125,69.0935,55.9524,84
DGWO,4,350,126,71.5341,46.0674,89
DGWO,4,350,127,74.2033,48.3871,93
DGWO,4,350,128,71.2753,51.6854,89
DGWO,4,350,129,70.4672,52.2727,88
DGWO,4,350,130,71.7547,48.9130,92
DGWO,4,350,131,71.5260,46.2366,93
DGWO,4,350,132,71.1150,50.0000,88
DGWO,4,350,133,69.9317,53.4884,86
DGWO,4,350,134,71.5822,40.2174,92
DGWO,4,350,135,73.3269,43.6170,94
DGWO,4,350,136,68.9511,48.2353,85
DGWO,4,350,137,71.3054,43.3333,90
DGWO,4,350,138,71.1150,51.1364,88
DGWO,4,350,139,71.4218,39.5604,91
DGWO,4,350,140,66.4723,55.4217,83
DGWO,4,350,141,66.6147,46.3415,82
DGWO,4,350,142,67.1201,50.6024,83
DGWO,4,350,143,67.9583,50.5882,85
DGWO,4,350,144,66.3861,50.6024,83
DGWO,4,350,145,67.0640,47.6190,84
DGWO,4,350,146,68.8648,44.7059,85
DGWO,4,350,147,68.1610,46.5116,86
DGWO,4,350,148,67.5693,44.7059,85
DGWO,4,350,149,67.2064,53.0120,83
DGWO,4,350,150,66.1395,48.7805,82
DGWO,4,350,151,68.3896,50.5882,85
DGWO,4,350,152,71.2875,46.5909,88
DGWO,4,350,153,69.0935,44.0476,84
DGWO,4,350,154,71.7066,43.8202,89
DGWO,4,350,155,68.8950,50.0000,86
DGWO,4,350,156,70.8604,48.3516,91
DGWO,4,350,157,70.3248,43.8202,89
DGWO,4,350,158,68.9813,48.8372,86
DGWO,4,350,159,70.5836,46.0674,89
DGWO,4,350,160,67.4270,46.5116,86
DGWO,4,350,161,69.0675,44.1860,86
DGWO,4,350,162,71.8711,38.7097,93
DGWO,4,350,163,68.3896,48.2353,85
DGWO,4,350,164,69.2580,51.1364,88
DGWO,4,350,165,69.0855,50.0000,88
DGWO,4,350,166,69.0855,52.2727,88
DGWO,4,350,167,67.4831,50.5882,85
DGWO,4,350,168,68.2472,50.0000,86
DGWO,4,350,169,69.2580,48.8636,88
DGWO,4,350,170,70.6016,50.5495,91
DGWO,4,350,171,68.7526,52.8736,87
DGWO,4,350,172,68.8389,45.9770,87
DGWO,4,350,173,69.0293,47.1910,89
DGWO,4,350,174,69.6771,53.9326,89
DGWO,4,350,175,70.2687,48.8889,90
DGWO,4,350,176,70.4111,44.9438,89
DGWO,4,350,177,69.6771,50.5618,89
DGWO,4,350,178,68.5240,52.2727,88
DGWO,4,350,179,69.9057,54.5455,88
DGWO,4,350,180,69.4565,46.5116,86
DGWO,4,350,181,69.2580,45.4545,88
DGWO,4,350,182,68.6664,51.7241,87
DGWO,4,350,183,72.0135,40.2174,92
DGWO,4,350,184,68.1610,51.1628,86
DGWO,4,350,185,69.6210,47.7778,90
DGWO,4,350,186,69.4866,52.8736,87
DGWO,4,350,187,69.9057,51.1364,88
DGWO,4,350,188,70.5535,46.5909,88
DGWO,4,350,189,69.0374,50.5882,85
DGWO,4,350,190,67.2926,51.8072,83
DGWO,4,350,191,69.0072,51.1905,84
DGWO,4,350,192,67.2365,52.3810,84
DGWO,4,350,193,69.4004,48.2759,87
DGWO,4,350,194,67.7117,48.8095,84
DGWO,4,350,195,68.3896,51.7647,85
DGWO,4,350,196,68.1610,52.3256,86
DGWO,4,350,197,70.0481,42.5287,87
