cfg,seed,instance,iteration,best_su,best_csr,best_placed
DGWO,5,350,1,55.4546,45.7143,70
DGWO,5,350,2,58.8116,37.0370,81
DGWO,5,350,3,63.3199,40.9639,83
DGWO,5,350,4,55.6149,53.5211,71
DGWO,5,350,5,61.4148,40.0000,80
DGWO,5,350,6,57.9513,45.9459,74
DGWO,5,350,7,59.7262,41.5584,77
DGWO,5,350,8,59.6700,50.0000,78
DGWO,5,350,9,62.4515,42.5000,80
DGWO,5,350,10,60.7629,49.3506,77
DGWO,5,350,11,63.7649,47.5610,82
DGWO,5,350,12,62.0163,41.3793,87
DGWO,5,350,13,63.6909,44.4444,81
DGWO,5,350,14,64.4509,36.7089,79
DGWO,5,350,15,66.6147,48.7805,82
DGWO,5,350,16,60.8831,39.4366,71
DGWO,5,350,17,64.4047,45.3488,86
DGWO,5,350,18,59.8945,56.7568,74
DGWO,5,350,19,62.0725,44.1860,86
DGWO,5,350,20,66.4342,44.1860,86
DGWO,5,350,21,64.1440,44.7368,76
DGWO,5,350,22,61.8378,43.2432,74
DGWO,5,350,23,59.4193,45.9459,74
DGWO,5,350,24,57.7387,50.7463,67
DGWO,5,350,25,65.3112,40.6977,86
DGWO,5,350,26,64.4810,51.2500,80
DGWO,5,350,27,61.9080,40.2439,82
DGWO,5,350,28,57.3417,49.2958,71
DGWO,5,350,29,61.5049,47.9452,73
DGWO,5,350,30,62.3011,48.2353,85
DGWO,5,350,31,60.5724,46.6667,75
DGWO,5,350,32,58.9441,40.5405,74
DGWO,5,350,33,59.4414,48.1013,79
DGWO,5,350,34,58.8658,38.5714,70
DGWO,5,350,35,55.1778,50.0000,68
DGWO,5,350,36,56.6157,52.2388,67
DGWO,5,350,37,57.7688,47.0588,68
DGWO,5,350,38,62.5198,38.4615,78
DGWO,5,350,39,59.9727,47.4359,78
DGWO,5,350,40,60.1533,54.0541,74
DGWO,5,350,41,59.4575,49.2958,71
DGWO,5,350,42,60.6025,48.6842,76
DGWO,5,350,43,60.9434,49.3151,73
DGWO,5,350,44,63.4401,49.3506,77
DGWO,5,350,45,58.2440,51.4706,68
DGWO,5,350,46,63.7550,55.2632,76
DGWO,5,350,47,60.8831,57.7465,71
DGWO,5,350,48,64.4509,36.7089,79
DGWO,5,350,49,60.8831,46.4789,71
DGWO,5,350,50,61.7816,41.3333,75
