cfg,seed,instance,iteration,best_su,best_csr,best_placed
SEQ,3,350,1,54.0549,55.8824,68
SEQ,3,350,2,55.9901,52.7778,72
SEQ,3,350,3,56.5657,53.0864,81
SEQ,3,350,4,55.3423,50.0000,72
SEQ,3,350,5,54.9232,49.2958,71
SEQ,3,350,6,59.9387,45.2381,84
SEQ,3,350,7,62.0163,51.7241,87
SEQ,3,350,8,59.0223,51.2821,78
SEQ,3,350,9,56.3229,43.8356,73
SEQ,3,350,10,61.2342,44.0476,84
SEQ,3,350,11,61.7396,45.8824,85
SEQ,3,350,12,59.8865,44.8718,78
SEQ,3,350,13,61.7255,44.7368,76
SEQ,3,350,14,61.2041,42.1687,83
SEQ,3,350,15,63.9756,49.3671,79
SEQ,3,350,16,55.1778,48.5294,68
SEQ,3,350,17,58.4005,53.9474,76
SEQ,3,350,18,62.2450,46.5116,86
SEQ,3,350,19,60.2414,41.6667,84
SEQ,3,350,20,59.1486,43.5294,85
SEQ,3,350,21,57.7447,47.5000,80
SEQ,3,350,22,57.7047,52.0548,73
SEQ,3,350,23,61.2121,43.0380,79
SEQ,3,350,24,58.1238,51.3514,74
SEQ,3,350,25,60.7148,52.7027,74
SEQ,3,350,26,59.4494,46.6667,75
SEQ,3,350,27,61.7095,42.8571,84
SEQ,3,350,28,58.8116,41.9753,81
SEQ,3,350,29,59.7823,47.3684,76
SEQ,3,350,30,63.7470,41.2500,80
SEQ,3,350,31,62.4515,42.5000,80
SEQ,3,350,32,60.5423,44.5946,74
SEQ,3,350,33,66.6449,38.5542,83
SEQ,3,350,34,63.9936,44.4444,81
SEQ,3,350,35,62.3172,51.9481,77
SEQ,3,350,36,64.3485,36.7816,87
SEQ,3,350,37,57.3115,64.2857,70
SEQ,3,350,38,60.6888,46.0526,76
SEQ,3,350,39,62.4595,47.3684,76
SEQ,3,350,40,59.1124,52.1127,71
SEQ,3,350,41,58.9139,53.4247,73
SEQ,3,350,42,60.4602,44.1558,77
SEQ,3,350,43,61.5931,40.9639,83
SEQ,3,350,44,59.3330,47.2973,74
SEQ,3,350,45,61.6232,35.7143,84
SEQ,3,350,46,60.6025,44.7368,76
SEQ,3,350,47,61.2503,46.0526,76
SEQ,3,350,48,64.3787,36.3636,88
SEQ,3,350,49,61.1339,56.0000,75
SEQ,3,350,50,62.3172,48.0519,77
SEQ,3,350,51,60.3999,48.0000,75
SEQ,3,350,52,58.3143,56.5789,76
SEQ,3,350,53,61.3064,56.0000,75
SEQ,3,350,54,61.3927,42.6667,75
SEQ,3,350,55,61.7557,46.7532,77
SEQ,3,350,56,62.9649,51.9481,77
SEQ,3,350,57,62.9649,45.4545,77
SEQ,3,350,58,64.5371,54.4304,79
SEQ,3,350,59,65.6040,45.0000,80
SEQ,3,350,60,63.7951,42.1687,83
SEQ,3,350,61,62.9187,42.8571,84
SEQ,3,350,62,65.4757,38.8889,90
SEQ,3,350,63,64.9562,48.7500,80
SEQ,3,350,64,59.3330,50.0000,74
SEQ,3,350,65,62.5778,43.6782,87
SEQ,3,350,66,60.5945,47.5000,80
SEQ,3,350,67,62.6339,34.8837,86
SEQ,3,350,68,63.6306,36.7089,79
SEQ,3,350,69,60.2414,50.0000,84
SEQ,3,350,70,63.7309,39.7727,88
SEQ,3,350,71,61.8297,51.2821,78
SEQ,3,350,72,61.9560,42.3529,85
SEQ,3,350,73,64.2924,39.7727,88
SEQ,3,350,74,65.4456,39.3258,89
SEQ,3,350,75,67.8281,42.3529,85
SEQ,3,350,76,67.4270,46.5116,86
SEQ,3,350,77,65.4456,43.8202,89
SEQ,3,350,78,61.4247,45.3488,86
SEQ,3,350,79,63.8031,46.8354,79
SEQ,3,350,80,62.1145,44.7368,76
SEQ,3,350,81,58.6853,48.6486,74
SEQ,3,350,82,58.4967,52.4390,82
SEQ,3,350,83,64.3085,50.0000,80
SEQ,3,350,84,65.9971,39.7590,83
SEQ,3,350,85,62.6801,39.2405,79
SEQ,3,350,86,62.9088,38.4615,78
SEQ,3,350,87,64.8841,37.0787,89
SEQ,3,350,88,65.2631,50.6024,83
SEQ,3,350,89,63.9756,40.5063,79
SEQ,3,350,90,64.2142,53.5714,84
SEQ,3,350,91,65.5017,35.2273,88
SEQ,3,350,92,66.0372,36.6667,90
SEQ,3,350,93,62.9267,43.7500,80
SEQ,3,350,94,66.6067,36.0465,86
SEQ,3,350,95,63.8894,48.1013,79
SEQ,3,350,96,64.9001,48.1481,81
SEQ,3,350,97,65.1768,44.5783,83
