cfg,seed,instance,pop,iteration,best_su,best_csr,best_placed
SEQ,1,350,30,127,74.8209,46.7391,92
SEQ,1,350,30,128,73.9827,50.0000,90
SEQ,1,350,30,129,75.1278,52.6316,95
SEQ,1,350,30,130,75.9179,48.9362,94
SEQ,1,350,30,131,74.3155,51.6484,91
SEQ,1,350,30,132,74.4881,49.4505,91
SEQ,1,350,30,133,76.2809,53.1250,96
SEQ,1,350,30,134,76.0042,51.0638,94
SEQ,1,350,30,135,77.0149,46.8750,96
SEQ,1,350,30,136,75.3564,52.1277,94
SEQ,1,350,30,137,77.5203,47.4227,97
SEQ,1,350,30,138,75.3564,51.0638,94
SEQ,1,350,30,139,76.3191,41.9355,93
SEQ,1,350,30,140,74.8511,54.8387,93
SEQ,1,350,30,141,77.1874,46.8750,96
SEQ,1,350,30,142,76.5095,51.5789,95
SEQ,1,350,30,143,76.0824,50.0000,98
SEQ,1,350,30,144,76.0042,56.3830,94
SEQ,1,350,30,145,77.1012,51.0417,96
SEQ,1,350,30,146,76.2809,54.1667,96
SEQ,1,350,30,147,77.1874,50.0000,96
SEQ,1,350,30,148,75.3564,57.4468,94
SEQ,1,350,30,149,77.1012,50.0000,96
SEQ,1,350,30,150,77.1874,46.8750,96
SEQ,1,350,30,151,77.7489,48.9583,96
SEQ,1,350,30,152,77.1573,46.3158,95
SEQ,1,350,30,153,78.2543,45.3608,97
SEQ,1,350,30,154,76.5095,55.7895,95
SEQ,1,350,30,155,76.5095,52.6316,95
SEQ,1,350,30,156,78.2543,47.4227,97
SEQ,1,350,30,157,75.4427,53.1915,94
SEQ,1,350,30,158,76.6519,48.9362,94
SEQ,1,350,30,159,74.6224,55.3191,94
SEQ,1,350,30,160,75.7755,53.6842,95
SEQ,1,350,30,161,74.1170,58.0645,93
SEQ,1,350,30,162,74.2594,55.4348,92
SEQ,1,350,30,163,75.7755,51.5789,95
SEQ,1,350,30,164,74.8511,55.9140,93
SEQ,1,350,30,165,74.6224,54.2553,94
SEQ,1,350,30,166,75.9179,48.9362,94
SEQ,1,350,30,167,74.6224,57.4468,94
SEQ,1,350,30,168,75.1278,54.7368,95
SEQ,1,350,30,169,75.9179,52.1277,94
SEQ,1,350,30,170,77.6627,51.0417,96
SEQ,1,350,30,171,76.4233,50.5263,95
SEQ,1,350,30,172,75.9179,48.9362,94
SEQ,1,350,30,173,75.9179,52.1277,94
SEQ,1,350,30,174,74.1170,61.2903,93
SEQ,1,350,30,175,74.6224,57.4468,94
SEQ,1,350,30,176,74.6224,58.5106,94
SEQ,1,350,30,177,77.0710,47.3684,95
SEQ,1,350,30,178,74.6224,56.3830,94
SEQ,1,350,30,179,77.5764,47.9167,96
SEQ,1,350,30,180,77.0149,53.1250,96
SEQ,1,350,30,181,77.0149,53.1250,96
SEQ,1,350,30,182,77.0149,53.1250,96
SEQ,1,350,30,183,77.5764,48.9583,96
SEQ,1,350,30,184,77.5764,54.1667,96
SEQ,1,350,30,185,77.5764,54.1667,96
SEQ,1,350,30,186,77.5764,52.0833,96
SEQ,1,350,30,187,77.5764,54.1667,96
SEQ,1,350,30,188,77.5764,54.1667,96
SEQ,1,350,30,189,77.5764,54.1667,96
SEQ,1,350,30,190,77.5764,53.1250,96
SEQ,1,350,30,191,77.5764,54.1667,96
SEQ,1,350,30,192,77.5764,56.2500,96
SEQ,1,350,30,193,77.5764,54.1667,96
SEQ,1,350,30,194,77.5764,58.3333,96
SEQ,1,350,30,195,77.5764,57.2917,96
SEQ,1,350,30,196,77.5764,58.3333,96
SEQ,1,350,30,197,77.5764,58.3333,96
SEQ,1,350,30,198,77.5764,58.3333,96
SEQ,1,350,30,199,77.5764,58.3333,96
SEQ,1,350,30,200,77.5764,58.3333,96
SEQ,1,350,30,201,77.5764,58.3333,96
SEQ,1,350,30,202,77.5764,57.2917,96
SEQ,1,350,30,203,77.5764,58.3333,96
SEQ,1,350,30,204,77.5764,56.2500,96
SEQ,1,350,30,205,77.5764,58.3333,96
SEQ,1,350,30,206,77.5764,59.3750,96
SEQ,1,350,30,207,77.5764,58.3333,96
SEQ,1,350,30,208,77.5764,58.3333,96
SEQ,1,350,30,209,77.5764,60.4167,96
SEQ,1,350,30,210,77.5764,60.4167,96
SEQ,1,350,30,211,77.5764,61.4583,96
SEQ,1,350,30,212,77.5764,62.5000,96
SEQ,1,350,30,213,77.5764,62.5000,96
SEQ,1,350,30,214,77.5764,63.5417,96
SEQ,1,350,30,215,77.5764,64.5833,96
SEQ,1,350,30,216,77.5764,63.5417,96
SEQ,1,350,30,217,77.5764,63.5417,96
SEQ,1,350,30,218,77.5764,63.5417,96
SEQ,1,350,30,219,77.5764,63.5417,96
SEQ,1,350,30,220,77.5764,63.5417,96
SEQ,1,350,30,221,77.5764,63.5417,96
SEQ,1,350,30,222,77.5764,63.5417,96
SEQ,1,350,30,223,77.5764,63.5417,96
SEQ,1,350,30,224,77.5764,63.5417,96
SEQ,1,350,30,225,77.5764,63.5417,96
SEQ,1,350,30,226,77.5764,63.5417,96
SEQ,1,350,30,227,77.5764,63.5417,96
SEQ,1,350,30,228,77.5764,63.5417,96
SEQ,1,350,30,229,77.5764,63.5417,96
SEQ,1,350,30,230,77.5764,63.5417,96
SEQ,1,350,30,231,77.5764,63.5417,96
SEQ,1,350,30,232,77.5764,63.5417,96
SEQ,1,350,30,233,77.5764,63.5417,96
SEQ,1,350,30,234,77.5764,63.5417,96
SEQ,1,350,30,235,77.5764,63.5417,96
SEQ,1,350,30,236,77.5764,63.5417,96
SEQ,1,350,30,237,77.5764,63.5417,96
SEQ,1,350,30,238,77.5764,63.5417,96
SEQ,1,350,30,239,77.5764,63.5417,96
SEQ,1,350,30,240,77.5764,63.5417,96
SEQ,1,350,30,241,77.5764,63.5417,96
SEQ,1,350,30,242,77.5764,63.5417,96
SEQ,1,350,30,243,77.5764,63.5417,96
SEQ,1,350,30,244,77.5764,63.5417,96
SEQ,1,350,30,245,77.5764,63.5417,96
SEQ,1,350,30,246,77.5764,63.5417,96
SEQ,1,350,30,247,77.5764,63.5417,96
SEQ,1,350,30,248,77.5764,63.5417,96
SEQ,1,350,30,249,77.5764,63.5417,96
SEQ,1,350,30,250,77.5764,63.5417,96
SEQ,1,350,30,251,77.5764,63.5417,96
SEQ,1,350,30,252,77.5764,63.5417,96
SEQ,1,350,30,253,77.5764,63.5417,96
SEQ,1,350,30,254,77.5764,63.5417,96
SEQ,1,350,30,255,77.5764,63.5417,96
SEQ,1,350,30,256,77.5764,63.5417,96
SEQ,1,350,30,257,77.5764,63.5417,96
SEQ,1,350,30,258,77.5764,63.5417,96
SEQ,1,350,30,259,77.5764,63.5417,96
SEQ,1,350,30,260,77.5764,63.5417,96
SEQ,1,350,30,261,77.5764,63.5417,96
SEQ,1,350,30,262,77.5764,63.5417,96
SEQ,1,350,30,263,77.5764,63.5417,96
SEQ,1,350,30,264,77.5764,63.5417,96
SEQ,1,350,30,265,77.5764,63.5417,96
SEQ,1,350,30,266,77.5764,63.5417,96
SEQ,1,350,30,267,60.9614,65.3333,75
SEQ,1,350,30,268,60.9614,65.3333,75
SEQ,1,350,30,269,60.9614,65.3333,75
SEQ,1,350,30,270,60.9614,65.3333,75
SEQ,1,350,30,271,60.9614,65.3333,75
SEQ,1,350,30,272,60.9614,65.3333,75
SEQ,1,350,30,273,60.9614,65.3333,75
SEQ,1,350,30,274,60.9614,65.3333,75
SEQ,1,350,30,275,60.9614,65.3333,75
SEQ,1,350,30,276,60.9614,65.3333,75
SEQ,1,350,30,277,60.9614,65.3333,75
SEQ,1,350,30,278,60.9614,65.3333,75
SEQ,1,350,30,279,60.9614,65.3333,75
SEQ,1,350,30,280,60.9614,65.3333,75
SEQ,1,350,30,281,60.9614,65.3333,75
SEQ,1,350,30,282,60.9614,65.3333,75
