cfg,seed,instance,pop,iteration,best_su,best_csr,best_placed
DGWO,1,350,30,127,77.3298,49.4737,95
DGWO,1,350,30,128,77.6325,48.4211,95
DGWO,1,350,30,129,78.6994,45.8333,96
DGWO,1,350,30,130,76.3630,52.6882,93
DGWO,1,350,30,131,77.6886,46.8085,94
DGWO,1,350,30,132,76.4492,48.3871,93
DGWO,1,350,30,133,77.0409,52.1277,94
DGWO,1,350,30,134,77.2134,47.8723,94
DGWO,1,350,30,135,78.8158,46.3918,97
DGWO,1,350,30,136,78.7116,45.2632,95
DGWO,1,350,30,137,77.2573,55.3191,94
DGWO,1,350,30,138,79.2609,51.0417,96
DGWO,1,350,30,139,78.0215,48.4211,95
DGWO,1,350,30,140,80.0991,47.9592,98
DGWO,1,350,30,141,79.1185,54.6392,97
DGWO,1,350,30,142,77.4039,50.0000,96
DGWO,1,350,30,143,79.0143,51.5789,95
DGWO,1,350,30,144,77.6024,48.9362,94
DGWO,1,350,30,145,78.9280,46.3158,95
DGWO,1,350,30,146,78.2982,47.4227,97
DGWO,1,350,30,147,79.5196,42.7083,96
DGWO,1,350,30,148,77.6886,46.8085,94
DGWO,1,350,30,149,78.8719,37.5000,96
DGWO,1,350,30,150,78.3665,50.5263,95
DGWO,1,350,30,151,78.6814,42.5532,94
DGWO,1,350,30,152,79.4334,45.8333,96
DGWO,1,350,30,153,78.6994,44.7917,96
DGWO,1,350,30,154,78.1379,51.0417,96
DGWO,1,350,30,155,77.3256,55.4348,92
DGWO,1,350,30,156,76.4012,54.4444,90
DGWO,1,350,30,157,78.0337,53.1915,94
DGWO,1,350,30,158,77.4982,51.0870,92
DGWO,1,350,30,159,77.4119,53.2609,92
DGWO,1,350,30,160,78.9280,48.4211,95
DGWO,1,350,30,161,79.5196,47.9167,96
DGWO,1,350,30,162,80.1975,47.4227,97
DGWO,1,350,30,163,79.4334,45.8333,96
DGWO,1,350,30,164,79.5196,45.8333,96
DGWO,1,350,30,165,80.9796,48.0000,100
DGWO,1,350,30,166,78.9582,47.9167,96
DGWO,1,350,30,167,79.8525,46.3918,97
DGWO,1,350,30,168,80.5002,44.3299,97
DGWO,1,350,30,169,79.6922,47.9167,96
DGWO,1,350,30,170,79.0704,48.9362,94
DGWO,1,350,30,171,81.0919,46.9388,98
DGWO,1,350,30,172,80.2537,50.0000,96
DGWO,1,350,30,173,79.9949,51.0417,96
DGWO,1,350,30,174,81.2644,41.8367,98
DGWO,1,350,30,175,79.8345,47.3684,95
DGWO,1,350,30,176,81.3507,51.0204,98
DGWO,1,350,30,177,81.3507,47.9592,98
DGWO,1,350,30,178,80.8453,47.4227,97
DGWO,1,350,30,179,81.3507,52.0408,98
DGWO,1,350,30,180,80.2537,50.0000,96
DGWO,1,350,30,181,80.2537,50.0000,96
DGWO,1,350,30,182,80.3098,48.4211,95
DGWO,1,350,30,183,80.3098,49.4737,95
DGWO,1,350,30,184,79.7483,51.5789,95
DGWO,1,350,30,185,79.7483,51.5789,95
DGWO,1,350,30,186,80.3399,51.0417,96
DGWO,1,350,30,187,79.6620,52.6316,95
DGWO,1,350,30,188,79.7784,53.1250,96
DGWO,1,350,30,189,79.6620,55.7895,95
DGWO,1,350,30,190,81.3507,50.0000,98
DGWO,1,350,30,191,81.3507,48.9796,98
DGWO,1,350,30,192,79.6620,58.9474,95
DGWO,1,350,30,193,81.4369,47.9592,98
DGWO,1,350,30,194,79.6620,52.6316,95
DGWO,1,350,30,195,79.6059,55.2083,96
DGWO,1,350,30,196,79.5758,55.7895,95
DGWO,1,350,30,197,80.2537,52.0833,96
DGWO,1,350,30,198,79.6620,53.6842,95
DGWO,1,350,30,199,79.8345,51.5789,95
DGWO,1,350,30,200,80.5865,53.6082,97
DGWO,1,350,30,201,80.6728,51.5464,97
DGWO,1,350,30,202,79.6620,54.7368,95
DGWO,1,350,30,203,80.1674,51.0417,96
DGWO,1,350,30,204,80.6728,51.5464,97
DGWO,1,350,30,205,79.6620,52.6316,95
DGWO,1,350,30,206,80.0811,52.0833,96
DGWO,1,350,30,207,80.1674,54.1667,96
DGWO,1,350,30,208,80.1674,54.1667,96
DGWO,1,350,30,209,80.9315,50.5155,97
DGWO,1,350,30,210,80.6728,51.5464,97
DGWO,1,350,30,211,80.2537,54.1667,96
DGWO,1,350,30,212,81.9423,53.5354,99
DGWO,1,350,30,213,81.9423,52.5253,99
DGWO,1,350,30,214,82.5339,53.0000,100
DGWO,1,350,30,215,81.1781,54.0816,98
DGWO,1,350,30,216,81.9423,46.4646,99
DGWO,1,350,30,217,80.5865,53.6082,97
DGWO,1,350,30,218,81.9423,51.5152,99
DGWO,1,350,30,219,80.8453,50.5155,97
DGWO,1,350,30,220,80.9315,52.5773,97
DGWO,1,350,30,221,81.3507,53.0612,98
DGWO,1,350,30,222,81.3507,51.0204,98
DGWO,1,350,30,223,81.8560,52.5253,99
DGWO,1,350,30,224,81.4369,50.0000,98
DGWO,1,350,30,225,80.8453,51.5464,97
DGWO,1,350,30,226,81.8560,49.4949,99
DGWO,1,350,30,227,81.4369,51.0204,98
DGWO,1,350,30,228,80.8453,54.6392,97
DGWO,1,350,30,229,81.3507,52.0408,98
DGWO,1,350,30,230,81.4369,56.1224,98
DGWO,1,350,30,231,80.8453,58.7629,97
DGWO,1,350,30,232,81.4369,51.0204,98
DGWO,1,350,30,233,81.8560,53.5354,99
DGWO,1,350,30,234,81.8560,56.5657,99
DGWO,1,350,30,235,81.8560,56.5657,99
DGWO,1,350,30,236,80.8453,51.5464,97
DGWO,1,350,30,237,81.8560,50.5051,99
DGWO,1,350,30,238,81.3507,53.0612,98
DGWO,1,350,30,239,81.8560,54.5455,99
DGWO,1,350,30,240,81.8560,53.5354,99
DGWO,1,350,30,241,81.8560,54.5455,99
DGWO,1,350,30,242,81.8560,56.5657,99
DGWO,1,350,30,243,81.8560,55.5556,99
DGWO,1,350,30,244,81.8560,53.5354,99
DGWO,1,350,30,245,81.8560,55.5556,99
DGWO,1,350,30,246,81.8560,56.5657,99
DGWO,1,350,30,247,82.4477,55.0000,100
DGWO,1,350,30,248,82.4477,55.0000,100
DGWO,1,350,30,249,82.4477,57.0000,100
DGWO,1,350,30,250,82.4477,57.0000,100
DGWO,1,350,30,251,82.4477,59.0000,100
DGWO,1,350,30,252,82.4477,59.0000,100
DGWO,1,350,30,253,82.4477,58.0000,100
DGWO,1,350,30,254,82.4477,59.0000,100
DGWO,1,350,30,255,82.4477,61.0000,100
DGWO,1,350,30,256,82.4477,58.0000,100
DGWO,1,350,30,257,82.4477,58.0000,100
DGWO,1,350,30,258,83.0091,58.0000,100
DGWO,1,350,30,259,82.4477,60.0000,100
DGWO,1,350,30,260,82.4477,60.0000,100
