cfg,seed,instance,iteration,best_su,best_csr,best_placed
DGWO,3,350,1,54.0549,55.8824,68
DGWO,3,350,2,55.3164,55.4054,74
DGWO,3,350,3,53.2086,54.2857,70
DGWO,3,350,4,55.5629,48.0000,75
DGWO,3,350,5,57.0409,46.9136,81
DGWO,3,350,6,53.9907,56.1644,73
DGWO,3,350,7,57.1432,49.3151,73
DGWO,3,350,8,60.6327,55.8442,77
DGWO,3,350,9,56.5256,51.3514,74
DGWO,3,350,10,63.3539,49.3506,77
DGWO,3,350,11,63.3279,53.1646,79
DGWO,3,350,12,63.8733,49.4253,87
DGWO,3,350,13,61.5831,51.9481,77
DGWO,3,350,14,63.2035,53.6585,82
DGWO,3,350,15,64.6715,57.3171,82
DGWO,3,350,16,64.7016,56.6265,83
DGWO,3,350,17,66.6548,48.3146,89
DGWO,3,350,18,60.1533,58.1081,74
DGWO,3,350,19,61.4366,53.3333,75
DGWO,3,350,20,62.5939,56.9620,79
DGWO,3,350,21,63.7008,52.8736,87
DGWO,3,350,22,60.3999,65.3333,75
DGWO,3,350,23,62.7160,51.8072,83
DGWO,3,350,24,64.2924,51.1364,88
DGWO,3,350,25,64.4127,53.6585,82
DGWO,3,350,26,61.7996,57.1429,77
DGWO,3,350,27,63.5142,44.8718,78
DGWO,3,350,28,64.7837,41.2500,80
DGWO,3,350,29,65.1467,45.1220,82
DGWO,3,350,30,67.0899,48.7805,82
DGWO,3,350,31,66.5586,51.8072,83
DGWO,3,350,32,64.8017,48.7805,82
DGWO,3,350,33,67.1300,48.3146,89
DGWO,3,350,34,63.0951,50.6494,77
DGWO,3,350,35,64.9742,46.3415,82
DGWO,3,350,36,60.5423,51.3514,74
DGWO,3,350,37,66.4422,40.2439,82
DGWO,3,350,38,65.8887,50.0000,78
DGWO,3,350,39,59.2166,53.4247,73
DGWO,3,350,40,61.9240,50.0000,74
DGWO,3,350,41,63.4962,48.6842,76
DGWO,3,350,42,63.7169,40.5063,79
DGWO,3,350,43,63.9856,42.3529,85
DGWO,3,350,44,64.1741,46.7532,77
DGWO,3,350,45,63.4962,43.4211,76
DGWO,3,350,46,65.1948,43.5294,85
DGWO,3,350,47,63.2497,44.0000,75
DGWO,3,350,48,65.2711,48.1013,79
DGWO,3,350,49,63.5825,48.6842,76
DGWO,3,350,50,64.7917,42.1053,76
DGWO,3,350,51,63.4840,58.4416,77
DGWO,3,350,52,64.9822,50.0000,78
DGWO,3,350,53,68.3854,40.2439,82
DGWO,3,350,54,68.5679,46.5909,88
DGWO,3,350,55,68.5118,37.0787,89
DGWO,3,350,56,66.1353,43.0380,79
DGWO,3,350,57,70.7218,52.9412,85
DGWO,3,350,58,67.6213,48.1481,81
DGWO,3,350,59,66.4201,54.5455,77
DGWO,3,350,60,66.0792,53.7500,80
DGWO,3,350,61,69.3882,42.0455,88
DGWO,3,350,62,68.7305,50.0000,82
DGWO,3,350,63,65.1246,59.7403,77
DGWO,3,350,64,68.0927,43.1818,88
DGWO,3,350,65,68.8748,43.9560,91
DGWO,3,350,66,68.0266,57.8313,83
DGWO,3,350,67,66.9254,50.0000,78
DGWO,3,350,68,71.1150,53.4091,88
DGWO,3,350,69,67.9763,40.2299,87
DGWO,3,350,70,62.8103,58.2278,79
DGWO,3,350,71,67.7938,51.8519,81
DGWO,3,350,72,67.8499,56.2500,80
DGWO,3,350,73,68.6622,47.6190,84
DGWO,3,350,74,67.3747,51.2500,80
DGWO,3,350,75,69.2538,48.2353,85
DGWO,3,350,76,70.1603,47.0588,85
DGWO,3,350,77,67.7377,46.3415,82
DGWO,3,350,78,66.7270,47.5000,80
DGWO,3,350,79,63.9153,58.4416,77
DGWO,3,350,80,68.2992,53.6585,82
DGWO,3,350,81,68.5198,49.4118,85
DGWO,3,350,82,67.6033,48.1013,79
DGWO,3,350,83,71.9051,42.5287,87
DGWO,3,350,84,71.6463,41.3793,87
DGWO,3,350,85,67.4610,57.5000,80
DGWO,3,350,86,70.4069,41.8605,86
DGWO,3,350,87,71.3696,50.5882,85
DGWO,3,350,88,70.0439,45.2381,84
DGWO,3,350,89,70.2165,41.6667,84
DGWO,3,350,90,70.6356,50.5882,85
DGWO,3,350,91,70.8081,44.7059,85
DGWO,3,350,92,71.1971,43.5294,85
DGWO,3,350,93,72.9418,43.6782,87
DGWO,3,350,94,74.0388,40.4494,89
DGWO,3,350,95,71.7326,43.6782,87
DGWO,3,350,96,69.7592,38.3721,86
DGWO,3,350,97,72.8857,39.7727,88
DGWO,3,350,98,66.8613,59.0361,83
DGWO,3,350,99,69.4443,44.8276,87
