cfg,seed,instance,iteration,best_su,best_csr,best_placed
SEQ,2,350,1,54.7549,50.0000,74
SEQ,2,350,2,55.3603,48.6486,74
SEQ,2,350,3,55.6893,45.1220,82
SEQ,2,350,4,60.8934,36.7816,87
SEQ,2,350,5,53.5415,50.7042,71
SEQ,2,350,6,52.3322,52.1127,71
SEQ,2,350,7,54.9973,50.0000,72
SEQ,2,350,8,58.7074,53.1646,79
SEQ,2,350,9,57.5462,40.2439,82
SEQ,2,350,10,58.5730,40.7895,76
SEQ,2,350,11,56.1504,43.8356,73
SEQ,2,350,12,54.4659,47.9452,73
SEQ,2,350,13,59.6800,36.9048,84
SEQ,2,350,14,58.7456,46.0526,76
SEQ,2,350,15,59.3632,42.6667,75
SEQ,2,350,16,62.6843,42.6829,82
SEQ,2,350,17,56.9447,46.6667,75
SEQ,2,350,18,55.9340,54.7945,73
SEQ,2,350,19,55.9599,57.7465,71
SEQ,2,350,20,61.6694,44.1558,77
SEQ,2,350,21,60.9193,55.2941,85
SEQ,2,350,22,57.5322,56.1644,73
SEQ,2,350,23,61.0957,46.1538,78
SEQ,2,350,24,59.8124,46.7532,77
SEQ,2,350,25,61.0778,42.1053,76
SEQ,2,350,26,60.5563,50.6024,83
SEQ,2,350,27,61.0136,48.1481,81
SEQ,2,350,28,61.4106,54.5455,77
SEQ,2,350,29,56.4351,45.0704,71
SEQ,2,350,30,60.9614,50.6667,75
SEQ,2,350,31,64.6635,51.1628,86
SEQ,2,350,32,62.2229,45.6790,81
SEQ,2,350,33,61.0396,45.5696,79
SEQ,2,350,34,58.4566,52.0000,75
SEQ,2,350,35,58.5990,48.6486,74
SEQ,2,350,36,64.8398,58.2278,79
SEQ,2,350,37,59.6399,48.0519,77
SEQ,2,350,38,59.4975,44.8718,78
SEQ,2,350,39,60.3999,42.6667,75
SEQ,2,350,40,60.7068,41.0256,78
SEQ,2,350,41,61.9721,41.5584,77
SEQ,2,350,42,59.9808,47.2973,74
SEQ,2,350,43,64.3646,45.5696,79
SEQ,2,350,44,62.3431,52.0000,75
SEQ,2,350,45,65.8025,50.0000,78
SEQ,2,350,46,60.5984,52.0548,73
SEQ,2,350,47,63.4401,50.6494,77
SEQ,2,350,48,61.6393,56.5789,76
SEQ,2,350,49,65.2933,45.2381,84
SEQ,2,350,50,62.7202,45.3488,86
SEQ,2,350,51,58.9700,52.7778,72
SEQ,2,350,52,62.7924,44.1558,77
SEQ,2,350,53,65.4315,53.7500,80
